,week,Plot,SubPlot,pH,PrepH,SoilMoisture,PreSoilMoisture,N,PreN,P,PreP,K,PreK,Mg,PreMg,Ca,PreCa,Temperature,PreTemperature,Humidity,PreHumidity,Light,PreLight,plantHeight,NoOfTiller,NoOfPanicle,SPAD,NoOfSpikelet,NoOfFilledGrain,NoOfUnfilledGrain,WeightGrain
32,1,4,3,7.463813,,49.44231,,1.416347,,0.025242,,2.179134,,0.900394,,0.00431,,28.96984,,89.79469,,1006.585,,0,0,0.205046,0,0.013899,0.463673,0.27405,0.261105
33,1,4,4,7.436302,,46.46222,,1.181764,,0.016974,,1.34856,,0.679583,,0.159353,,33.14495,,88.75475,,1000.728,,0,0,0.219427,0,0.014438,0.489889,0.277515,0.266974
34,1,4,5,7.813877,,43.78706,,1.150802,,0.022261,,1.574114,,0.262125,,0.120268,,29.68855,,89.61724,,1001.913,,0,0,0.233988,0,0.014668,0.513066,0.28329,0.292147
35,1,4,6,7.649039,,49.76151,,1.024797,,0.061256,,2.907193,,0.807618,,0.198495,,31.98477,,89.94161,,1009.82,,0,0,0.250294,0,0.014815,0.527269,0.283348,0.310567
36,1,4,7,7.695845,,48.90801,,1.180388,,0.034707,,1.198752,,0.361352,,0.065576,,31.96131,,88.97221,,1003.983,,0,0,0.270057,0,0.015804,0.546636,0.300229,0.31403
37,1,4,8,7.585257,,44.7929,,1.19428,,0.066265,,1.419248,,0.783799,,0.078522,,32.00946,,89.77698,,1006.863,,0,0,0.284273,0,0.016845,0.581604,0.30631,0.332923
38,1,4,9,7.452807,,43.45216,,1.256779,,0.096135,,1.277641,,0.995391,,0.161066,,29.00597,,88.45022,,1005.366,,0,0,0.289893,0,0.0177,0.619192,0.323534,0.356353
39,1,4,10,7.768725,,44.80845,,1.200641,,0.058293,,2.017117,,0.890332,,0.148193,,33.87082,,89.17703,,1007.256,,0,0,0.300245,0,0.018742,0.632528,0.324422,0.369627
40,1,5,1,5.913874,,79.37607,,2.678466,,0.221856,,2.88678,,1.684301,,0.357298,,26.85958,,89.04423,,1005.51,,0.017174,0.012395,0.021294,0.173984,0.173984,0.190615,0.124896,0.206139
41,1,5,2,7.378172,,85.53861,,1.398177,,0.179585,,3.120044,,1.727796,,0.23625,,26.25202,,88.14311,,1007.007,,0.018718,0.01329,0.023542,0.198954,0.198954,0.223164,0.14539,0.206671
42,1,5,3,7.621946,,68.18597,,1.529768,,0.054134,,3.913914,,1.658521,,0.533078,,21.77984,,89.18606,,1004.655,,0.019747,0.014414,0.024811,0.227455,0.227455,0.241869,0.147842,0.207783
43,1,5,4,6.860649,,61.10323,,2.43568,,0.257691,,1.054601,,1.494763,,0.368334,,20.89725,,88.10092,,1004.332,,0.021561,0.014802,0.027116,0.242657,0.242657,0.254726,0.150875,0.224094
44,1,5,5,7.096826,,69.93066,,2.043589,,0.299448,,2.069682,,1.977895,,0.557414,,22.1794,,88.24998,,1006.418,,0.022629,0.016146,0.028842,0.256001,0.256001,0.28044,0.151281,0.238704
45,1,5,6,7.242764,,81.40399,,1.062167,,0.227122,,3.668873,,1.907069,,0.327935,,22.27388,,88.82871,,1001.876,,0.025327,0.016855,0.030808,0.256771,0.256771,0.299778,0.169049,0.247729
46,1,5,7,6.530666,,78.97207,,2.794343,,0.182122,,1.327682,,1.925153,,0.25714,,23.82259,,88.45101,,1009.129,,0.026212,0.017648,0.033303,0.262904,0.262904,0.317589,0.171912,0.262635
47,1,5,8,5.932484,,83.55535,,1.468365,,0.112737,,2.027508,,1.661152,,0.217162,,27.85237,,88.06961,,1004.38,,0.026665,0.017706,0.036348,0.295647,0.295647,0.345433,0.195671,0.269197
48,1,5,9,6.515938,,63.49444,,2.505457,,0.073605,,3.556135,,1.910891,,0.295113,,21.14602,,89.48008,,1003.49,,0.028223,0.018061,0.038802,0.322102,0.322102,0.359968,0.197622,0.281685
49,1,5,10,7.785416,,84.32872,,2.809217,,0.202297,,1.713499,,1.821196,,0.409239,,20.9342,,88.94555,,1000.727,,0.028794,0.018222,0.039283,0.333573,0.333573,0.366886,0.217744,0.311178
50,1,6,1,7.326636,,84.7379,,2.185737,,0.278054,,1.36209,,1.814539,,0.570929,,27.83321,,89.22569,,1000.879,,0.029566,0.019307,0.040404,0.359102,0.359102,0.370143,0.226746,0.333164
51,1,6,2,7.526745,,86.15228,,2.526095,,0.201916,,3.385241,,1.225356,,0.357644,,27.19307,,88.98582,,1001.76,,0.030707,0.021033,0.042941,0.370546,0.370546,0.38146,0.244626,0.340073
52,1,6,3,7.202179,,65.37363,,1.071487,,0.096518,,2.06418,,1.077219,,0.351283,,27.16837,,88.1087,,1004.762,,0.034093,0.021737,0.044974,0.404162,0.404162,0.404332,0.247397,0.363089
53,1,6,4,7.724768,,85.7969,,2.496221,,0.085753,,1.029235,,1.363277,,0.444221,,25.1495,,89.36421,,1004.52,,0.037248,0.022305,0.047804,0.410665,0.410665,0.418228,0.267012,0.367357
54,1,6,5,6.489352,,78.17011,,2.269294,,0.047324,,1.98256,,1.601067,,0.270326,,21.05609,,89.53471,,1000.399,,0.039486,0.023009,0.04959,0.427638,0.427638,0.420451,0.288698,0.388937
55,1,6,6,7.088426,,88.43579,,1.740359,,0.108876,,3.045461,,1.704512,,0.379039,,25.99045,,89.90479,,1002.394,,0.039681,0.023371,0.050059,0.430823,0.430823,0.435071,0.296042,0.391605
56,1,6,7,6.778987,,72.22349,,1.614887,,0.240021,,2.215321,,1.419061,,0.587727,,20.34589,,88.65586,,1007.323,,0.042662,0.024891,0.052101,0.464724,0.464724,0.441355,0.296441,0.42249
57,1,6,8,7.515881,,70.56108,,2.771785,,0.113189,,2.625906,,1.414676,,0.570036,,24.96865,,89.08524,,1001.206,,0.045379,0.026143,0.053704,0.488681,0.488681,0.47086,0.319743,0.454676
58,1,6,9,6.899046,,86.97282,,1.692162,,0.297131,,3.439773,,1.519926,,0.526707,,20.20356,,89.29338,,1000.432,,0.046502,0.026895,0.054876,0.50984,0.50984,0.502658,0.321629,0.46954
59,1,6,10,7.89798,,74.39543,,1.70953,,0.297421,,2.301152,,1.467639,,0.309739,,25.48483,,88.76405,,1007.284,,0.047176,0.027495,0.056317,0.541842,0.541842,0.515297,0.341712,0.490206
60,1,7,1,6.689984,,80.17964,,2.218315,,0.235701,,5.32473,,1.817085,,0.490497,,26.60248,,89.9815,,1007.981,,0.000934,0.004755,0.01952,0.013366,0.001338,0.013366,0.027933,0.028486
61,1,7,2,6.403418,,86.4068,,2.474596,,0.264243,,5.722845,,1.628484,,0.604737,,26.33871,,88.15324,,1009.83,,0.002089,0.007657,0.043584,0.018059,0.005365,0.018059,0.038428,0.034671
62,1,7,3,6.826317,,88.46311,,2.242307,,0.273414,,5.126886,,1.604793,,0.695558,,26.92958,,88.12438,,1001.232,,0.004026,0.011697,0.084841,0.056842,0.00549,0.056842,0.083673,0.056618
63,1,7,4,6.475233,,86.84313,,2.314931,,0.213643,,5.174374,,1.834645,,0.608214,,25.92583,,88.03941,,1002.031,,0.004119,0.016908,0.115513,0.100328,0.006906,0.100328,0.099911,0.061332
64,1,7,5,6.503,,80.23851,,2.309014,,0.263117,,5.61312,,1.721771,,0.627503,,25.67303,,89.76104,,1006.054,,0.006443,0.020702,0.144752,0.131029,0.008593,0.131029,0.101649,0.093449
65,1,7,6,6.419458,,80.62367,,2.240119,,0.21074,,5.126317,,1.911068,,0.490718,,26.94187,,88.10649,,1006.686,,0.007416,0.024709,0.1843,0.142516,0.008902,0.142516,0.110711,0.131637
66,1,7,7,6.813193,,85.57901,,2.765993,,0.277846,,5.055977,,1.51106,,0.444649,,26.98497,,88.97055,,1000.912,,0.008292,0.028074,0.187435,0.157582,0.008944,0.157582,0.17297,0.171703
67,1,7,8,6.45173,,82.50367,,2.519507,,0.267518,,5.5856,,1.909245,,0.540485,,26.13654,,88.08568,,1007.115,,0.012319,0.030553,0.189175,0.194544,0.010226,0.194544,0.223225,0.207424
68,1,7,9,6.65921,,86.72186,,2.844646,,0.218247,,5.303395,,1.798053,,0.58513,,25.01312,,89.9425,,1007.328,,0.014739,0.03329,0.206481,0.217954,0.012014,0.217954,0.256821,0.240181
69,1,7,10,6.666727,,88.45664,,2.566357,,0.272933,,5.468731,,1.886188,,0.630179,,26.96427,,89.8491,,1002.605,,0.017685,0.033614,0.249127,0.249673,0.016331,0.249673,0.265476,0.258059
70,1,8,1,6.657791,,86.78311,,2.88891,,0.239717,,5.632804,,1.825884,,0.673711,,25.19969,,89.47276,,1009.555,,0.020013,0.033859,0.283494,0.264549,0.020286,0.264549,0.3142,0.300342
71,1,8,2,6.797935,,81.55531,,2.257831,,0.240337,,5.912263,,1.678729,,0.579448,,26.21664,,88.63335,,1001.982,,0.023389,0.038753,0.328198,0.287021,0.023483,0.287021,0.335241,0.333924
72,1,8,3,6.614097,,82.87195,,2.033967,,0.231761,,5.79778,,1.798099,,0.69725,,26.73815,,88.56892,,1008.417,,0.02732,0.040723,0.346874,0.287454,0.023588,0.287454,0.377994,0.38931
73,1,8,4,6.627136,,86.10091,,2.281107,,0.214363,,5.422109,,1.745021,,0.466438,,25.86103,,88.95224,,1000.986,,0.029947,0.04313,0.37613,0.30719,0.025345,0.30719,0.394582,0.423128
74,1,8,5,6.738258,,82.3761,,2.579508,,0.255706,,5.746166,,1.509837,,0.666979,,26.17902,,88.00648,,1002.424,,0.033029,0.047526,0.399265,0.314493,0.029085,0.314493,0.402167,0.444016
75,1,8,6,6.627198,,88.36527,,2.508104,,0.266942,,5.392214,,1.656796,,0.577754,,25.37663,,88.62498,,1006.294,,0.035177,0.051471,0.418909,0.321268,0.032429,0.321268,0.413124,0.450515
76,1,8,7,6.558971,,83.67977,,2.413472,,0.230145,,5.36817,,1.863649,,0.468535,,26.55421,,89.02276,,1000.397,,0.037562,0.054166,0.463483,0.338516,0.036453,0.338516,0.413818,0.456693
77,1,8,8,6.465855,,87.9787,,2.00168,,0.261347,,5.893027,,1.847075,,0.510061,,25.06133,,89.08936,,1008.521,,0.039612,0.056709,0.477347,0.371417,0.038291,0.371417,0.477254,0.467054
78,1,8,9,6.645921,,84.10091,,2.061047,,0.224904,,5.530174,,1.898045,,0.546006,,26.86667,,89.19776,,1008.339,,0.043281,0.05935,0.504951,0.393245,0.038927,0.393245,0.51712,0.481738
79,1,8,10,6.692331,,85.83974,,2.685164,,0.244711,,5.297289,,1.598055,,0.525031,,25.29917,,89.46227,,1003.287,,0.04568,0.062168,0.532584,0.435012,0.043004,0.435012,0.571607,0.503285
80,2,1,1,7.370245,,47.08785,,1.018588,,0.050208,,1.099894,,0.733259,,0.008406,,33.38741,,89.89714,,1004.877,,0.04568,0.04568,0.304083,0.04568,0.018904,0.649054,0.335567,0.37859
81,2,1,2,7.540924,,43.26601,,1.275381,,0.067647,,2.180971,,0.564398,,0.127786,,33.96325,,89.81989,,1007.343,,0.04568,0.04568,0.311159,0.04568,0.019362,0.688525,0.347893,0.385727
82,2,1,3,7.727262,,44.18247,,1.263793,,0.021627,,2.326398,,0.273458,,0.13382,,30.94909,,88.2875,,1004.045,,0.04568,0.04568,0.315849,0.04568,0.01994,0.703992,0.348833,0.405748
83,2,1,4,7.86269,,47.15861,,1.364547,,0.064821,,1.718972,,0.472029,,0.11484,,28.71462,,89.37198,,1003.689,,0.04568,0.04568,0.330945,0.04568,0.019962,0.746299,0.353189,0.419716
84,2,1,5,7.955938,,42.49833,,1.331152,,0.012441,,2.065694,,0.57139,,0.198701,,31.24074,,88.53089,,1001.655,,0.04568,0.04568,0.338649,0.04568,0.020826,0.776282,0.367003,0.423351
85,2,1,6,7.624016,,46.43599,,1.250038,,0.019209,,2.876831,,0.802861,,0.028062,,33.0506,,89.60558,,1008.265,,0.04568,0.04568,0.358243,0.04568,0.020877,0.812408,0.378357,0.442094
86,2,1,7,7.370239,,46.73282,,1.203223,,0.044382,,2.63123,,0.208741,,0.16934,,30.06174,,89.50344,,1002.259,,0.04568,0.04568,0.368335,0.04568,0.021385,0.817434,0.397121,0.46664
87,2,1,8,7.582321,,42.33611,,1.430574,,0.038526,,2.757807,,0.408426,,0.061541,,29.65929,,89.64781,,1003.934,,0.04568,0.04568,0.385872,0.04568,0.022526,0.826977,0.411486,0.483528
88,2,1,9,7.352662,,45.93911,,1.130786,,0.014397,,2.638442,,0.477266,,0.163089,,28.75242,,89.12888,,1007.359,,0.04568,0.04568,0.387169,0.04568,0.023257,0.828542,0.422089,0.49592
89,2,1,10,8.039701,,49.86653,,1.0413,,0.056834,,2.220494,,0.208549,,0.199311,,28.03257,,89.66205,,1009.862,,0.04568,0.04568,0.387543,0.04568,0.023264,0.829699,0.434475,0.519657
90,2,2,1,8.054877,,47.57957,,1.409125,,0.080503,,1.511231,,0.527297,,0.156094,,34.24075,,89.7358,,1002.846,,0.04568,0.04568,0.387801,0.04568,0.023871,0.867882,0.442527,0.542011
91,2,2,2,7.816205,,46.5899,,1.007142,,0.024096,,1.637322,,0.229911,,0.103499,,34.12519,,88.2221,,1000.078,,0.04568,0.04568,0.402971,0.04568,0.02442,0.887857,0.446275,0.545126
92,2,2,3,8.088204,,46.76826,,1.271956,,0.071456,,2.384765,,0.714866,,0.171273,,33.78655,,88.80504,,1004.235,,0.04568,0.04568,0.411687,0.04568,0.025049,0.922932,0.468073,0.559076
93,2,2,4,7.992528,,45.59998,,1.042391,,0.084037,,1.882069,,0.40805,,0.016334,,33.80453,,88.8664,,1003.534,,0.04568,0.04568,0.416684,0.04568,0.025328,0.947865,0.491848,0.560572
94,2,2,5,7.683118,,43.02217,,1.378991,,0.093857,,1.486335,,0.524902,,0.154905,,31.56686,,89.58046,,1006.588,,0.04568,0.04568,0.424967,0.04568,0.025464,0.968892,0.509938,0.570716
95,2,2,6,7.743908,,41.26586,,1.203982,,0.064479,,1.516524,,0.535347,,0.142897,,28.65896,,88.23627,,1008.948,,0.04568,0.04568,0.425854,0.04568,0.026315,0.969375,0.532089,0.582297
96,2,2,7,7.611446,,49.00426,,1.004211,,0.098609,,2.049564,,0.567312,,0.142734,,30.06777,,89.16839,,1005.832,,0.04568,0.04568,0.442867,0.04568,0.026778,0.974027,0.551409,0.599323
97,2,2,8,7.530176,,47.13972,,1.347805,,0.085471,,1.376881,,0.757629,,0.001382,,30.52162,,89.91515,,1007.377,,0.04568,0.04568,0.45577,0.04568,0.027002,1.013587,0.561966,0.613316
98,2,2,9,7.767773,,44.54773,,1.006662,,0.084505,,2.063878,,0.938232,,0.098983,,31.88346,,89.2833,,1005.69,,0.04568,0.04568,0.472951,0.04568,0.027808,1.047801,0.567377,0.620143
99,2,2,10,7.525073,,47.33474,,1.245739,,0.063974,,1.518823,,0.571518,,0.082559,,28.47388,,88.23887,,1000.972,,0.04568,0.04568,0.480913,0.04568,0.028822,1.062083,0.568081,0.626947
100,2,3,1,6.519785,,76.75311,,1.035492,,0.262758,,3.445615,,1.233232,,0.204339,,22.24748,,88.75215,,1004.376,,0.049094,0.02803,0.058577,0.555888,0.555888,0.523955,0.35872,0.496332
101,2,3,2,6.122134,,82.07212,,1.332625,,0.270737,,1.023614,,1.388585,,0.359157,,24.03702,,89.91914,,1005.4,,0.049843,0.02919,0.0587,0.579737,0.579737,0.541904,0.374839,0.504568
102,2,3,3,6.181442,,85.04983,,2.722924,,0.121178,,2.221672,,1.369164,,0.448941,,25.25472,,89.3898,,1000.648,,0.052909,0.030259,0.058744,0.583437,0.583437,0.543939,0.388737,0.527863
103,2,3,4,7.610471,,60.32142,,2.782934,,0.022416,,3.62564,,1.598234,,0.485063,,27.20127,,89.20932,,1006.78,,0.05368,0.032257,0.059089,0.600081,0.600081,0.577766,0.38894,0.558779
104,2,3,5,6.321703,,77.59545,,1.965049,,0.110051,,2.782281,,1.205014,,0.595932,,28.0642,,89.22454,,1002.93,,0.055902,0.03227,0.061183,0.612638,0.612638,0.599601,0.404743,0.583626
105,2,3,6,7.539106,,77.8832,,2.443323,,0.260006,,3.734823,,1.534045,,0.44713,,27.06513,,89.03341,,1004.293,,0.058618,0.03303,0.064504,0.615226,0.615226,0.627356,0.428005,0.59997
106,2,3,7,6.418047,,79.71188,,2.612154,,0.26459,,2.943563,,1.730013,,0.420246,,20.02415,,88.23865,,1007.119,,0.062068,0.034926,0.067341,0.623686,0.623686,0.647358,0.431086,0.627219
107,2,3,8,6.45991,,76.05504,,2.256076,,0.027645,,2.31053,,1.096227,,0.43493,,23.6792,,89.17987,,1004.615,,0.063013,0.036789,0.0688,0.657518,0.657518,0.655241,0.450977,0.659601
108,2,3,9,7.631625,,64.3469,,1.396647,,0.169567,,3.415111,,1.184131,,0.467062,,20.47726,,89.18123,,1008.366,,0.065895,0.037018,0.071227,0.676131,0.676131,0.658937,0.453368,0.685567
109,2,3,10,7.459194,,83.85026,,1.40717,,0.194006,,1.757747,,1.415662,,0.586675,,25.09244,,88.07313,,1009.998,,0.068698,0.037268,0.073043,0.694819,0.694819,0.687496,0.464529,0.691847
110,2,4,1,7.727219,,43.75001,,1.030999,,0.074943,,1.673102,,0.550744,,0.040306,,32.8124,,89.07651,,1003.524,,0.04568,0.04568,0.489938,0.04568,0.029041,1.072841,0.584739,0.651496
111,2,4,2,7.917406,,42.93303,,1.194961,,0.025877,,1.154853,,0.837127,,0.068948,,30.86372,,89.74571,,1009.031,,0.04568,0.04568,0.497543,0.04568,0.029327,1.105871,0.594466,0.666421
112,2,4,3,7.322383,,48.16327,,1.419798,,0.066028,,1.396705,,0.914238,,0.196665,,32.09879,,89.13039,,1005.352,,0.04568,0.04568,0.510242,0.04568,0.030067,1.132792,0.617028,0.691187
113,2,4,4,7.611355,,49.01542,,1.359557,,0.024771,,1.066579,,0.642987,,0.045756,,33.02709,,89.04648,,1007.004,,0.04568,0.04568,0.51036,0.04568,0.030652,1.170661,0.632475,0.69324
114,2,4,5,7.542992,,44.45611,,1.02582,,0.031956,,1.524198,,0.303771,,0.181607,,32.67249,,89.68391,,1004.723,,0.04568,0.04568,0.521125,0.04568,0.031341,1.208941,0.651347,0.708701
115,2,4,6,7.551094,,43.87909,,1.276723,,0.064615,,1.35335,,0.994209,,0.121577,,30.23588,,89.96846,,1007.9,,0.04568,0.04568,0.532914,0.04568,0.032105,1.241239,0.665883,0.709383
116,2,4,7,7.518995,,45.78549,,1.45893,,0.038981,,1.486071,,0.728489,,0.000627,,32.15201,,89.74215,,1005.435,,0.04568,0.04568,0.549294,0.04568,0.032345,1.259614,0.667465,0.721442
117,2,4,8,7.458495,,46.02603,,1.045443,,0.053957,,2.822022,,0.53152,,0.047472,,34.21206,,88.8226,,1006.365,,0.04568,0.04568,0.556715,0.04568,0.032699,1.277797,0.678863,0.726733
118,2,4,9,7.701692,,48.52679,,1.260868,,0.050355,,1.870767,,0.696099,,0.107732,,31.7201,,89.43955,,1005.916,,0.04568,0.04568,0.567926,0.04568,0.033869,1.303691,0.684205,0.747652
119,2,4,10,7.520865,,49.46088,,1.490329,,0.052453,,2.52484,,0.496456,,0.120038,,34.47887,,89.21098,,1004.787,,0.04568,0.04568,0.577394,0.04568,0.034004,1.313686,0.687892,0.74991
120,2,5,1,6.796219,,69.6335,,2.09557,,0.155533,,2.684928,,1.872341,,0.323282,,28.86849,,88.2749,,1001.531,,0.071041,0.038301,0.074397,0.721304,0.721304,0.699306,0.472193,0.69854
121,2,5,2,6.457432,,83.71596,,1.856451,,0.098308,,1.806286,,1.412202,,0.36132,,21.09808,,89.70567,,1007.196,,0.073088,0.038603,0.076785,0.722847,0.722847,0.709912,0.472296,0.707871
122,2,5,3,7.729615,,75.51489,,1.292459,,0.163145,,3.553234,,1.548014,,0.591767,,28.37748,,89.77398,,1007.933,,0.073755,0.038857,0.079613,0.757203,0.757203,0.728043,0.489009,0.72911
123,2,5,4,6.582301,,89.64954,,2.722393,,0.139694,,1.654646,,1.301276,,0.465268,,22.66079,,88.90681,,1005.835,,0.074504,0.039852,0.081554,0.762983,0.762983,0.734151,0.505571,0.761182
124,2,5,5,7.336073,,85.2508,,2.600369,,0.210616,,3.222715,,1.131519,,0.311309,,24.85174,,88.42586,,1008.271,,0.07503,0.039854,0.083248,0.791814,0.791814,0.756023,0.512486,0.783382
125,2,5,6,6.893645,,73.1787,,1.522362,,0.017534,,2.148775,,1.984539,,0.551583,,26.18358,,88.06816,,1009.182,,0.076886,0.04044,0.085516,0.797655,0.797655,0.771414,0.530047,0.816357
126,2,5,7,6.50313,,64.14332,,1.792747,,0.182308,,1.710232,,1.980751,,0.355709,,29.641,,88.22772,,1008.974,,0.077261,0.042002,0.088966,0.827685,0.827685,0.771815,0.551226,0.844886
127,2,5,8,6.620565,,80.14909,,2.082569,,0.17976,,2.863127,,1.15682,,0.385265,,28.76888,,88.25852,,1004.057,,0.079851,0.04327,0.091969,0.840768,0.840768,0.796519,0.55312,0.860025
